title|scroll|fullSize|filename|altText|date|originalDate|caption|transcript
Hot Bath|||venustune_hotbath.png|Venusmon and Neptunemon from Digimon Story Time Stranger taking a bath together. Neptunemon is mostly submerged in the bath water save for the top of his helmetless head and fish tail. Venusmon is on one side of the bath with her hair down and without her bandages covering her eyes. Her clam (Hotan) is on a small paper boat, while her dove (Olive) is relaxing on Neptunemon's tail. Venusmon: "I put in some bath salts that I've been working on for a while. How does it feel?" Neptunemon: "...so good...thank you, Venusmon..."|2026-05-31||The last artwork I did for Mermay! Nothing like drawing a ship together than putting them in an obligatory bath scene!|**Venusmon**: I put in some bath salts that I've been working on for a while. How does it feel?\n**Neptunemon**: ...so good...thank you, Venusmon...
Shoutmon vs. Neptunemon (???)|TRUE|TRUE|something_different.jpg|Shoutmon confronts Neptunemon but mistakes the Sea God Digimon as a different one|2025-05-10||I think it's funny that for the Xros Wars Digimon Color device, they decided to use Neptunemon's official design instead of his Xros Wars design! That inspired me to make this silly comic.\n\nWhy is TS Neptunemon in this comic? Uh…I like him!|**Shoutmon**: Neptunemon!! Never thought I'd have to see your ugly mug again!\n\n**Neptunemon**: Uhhh...yes! We meet again, my...archnemesis!\n\n**Shoutmon**: ...wait a minute. There's something different about you.\n\n**Shoutmon**: ...Did you change your hair?\n\n**Neptunemon**: ...yes...?\n\n**Shoutmon**: I KNEW IT! Yeah!!
A Welcome Visitor|||welcome_visitor.jpg|Neptunemon with Olive, Venusmon's pet dove, happily perching on his hand.|2026-04-30||This was a sketch that was sitting in my files for a while, and I finally cleaned it up!
A Neptunemon Out of Water|TRUE|TRUE|neptunemon_out_of_water.jpg|A comic depicting Venusmon, Minervamon, and Marsmon struggling to carry an unconscious Neptunemon to safety. Marsmon wonders out loud why Neptunemon is heavy, with Venusmon explaining that Neptunemon's lower fish half is all muscle.|2026-04-12||Biiiig fish butt.|**Marsmon**: WHAT THE HELL? WHY IS NEPTUNEMON SO FREAKING HEAVY?!\n\n**Venusmon**: That's because his lower half is all muscle!
Armor-Breaking Question|||neptunemon_blush.jpg|Neptunemon from Digimon Story Time Stranger blushing profusely and hiding his face with his hands.|2026-03-20||"""Neptunemon, will you ever ask Venusmon to marry you?"""
Meat...|||neptunemonmeat.jpg|Two groups wondering what Neptunemon's meat looks like. The left group labelled "My partner and I" consists of the artist, her partner, and their Digimon thinking about a tuna steak. The thought bubble depicts a raw tuna stake with Neptunemon's spear "King's Bite" and a sprig of cilantro perched on it. The right group labelled "'Normal' Digimon fans" consists of two featureless people thinking about something else with the same meaning of "meat". The thought bubble depicts a censored object.|2026-03-14||What does Neptunemon's meat look like?
Wrong Neptunemon...|||no_wings_left.jpg|A comic discussing the difference between the original Neptunemon (shown on the right) and the Neptunemon in Xros Wars (shown on the left). Xros Wars Neptunemon has an unhinged expression on his face while the other Neptunemon is slightly cringing. The comic points out that every time someone uses Neptunemon's Xros Wars design when referring to the Digimon in general, Venusmon loses one of her wings. Venusmon is shown at the bottom, sobbing and grieving over the loss of her only wings, originally located on her ears.|2026-02-15||I have many gripes with the Digimon fandom! A big one is how so many people use Neptunemon's Xros Wars design when talking about the Olympos XII in general, even though that particular Neptunemon has nothing to do with the Olympos XII!\n\nPlus...I think Xros Wars Neptunemon is really ugly. XD|Any time someone uses Xros Wars Neptunemon when talking about the Olympos XII in general, Venusmon loses her wings.\n\n**Venusmon**: I don't have any more to lose!
Date Plans|TRUE||date_plans.jpg|Depthmon suggesting that Neptunemon take Venusmon on a tour of the ocean floor. Neptunemon points out that Venusmon actually lived in the Abyss Area as a Shellmon, meaning that that she is already familiar with the oceans. Depthmon cringes a bit, surprised that Shellmon evolved into Venusmon, quietly reminding himself "Be careful who you call ugly in middle school".|2026-02-07||A silly comic that was in my thoughts for a while! I was having a hard time choosing a Digimon for Neptunemon to talk to but after watching one of the Digimon Tamers movies, I think it'd be nice to put Depthmon here! It's so underrepresented!|**Depthmon**: Lord Neptunemon, if you're still deciding on where to take Lady Venusmon, perhaps you can take her on a tour of the ocean floor!\n\n**Neptunemon**: That's a wonderful idea, but...Venusmon used to live in the area as a Shellmon. So, she's already familar with the ocean.\n\n**Depthmon**: She was *Shellmon*??? (whispering) Oof...be careful who you call "ugly" in middle school...\n\n**Neptunemon**: What was that?\n\n**Depthmon**: I-it's nothing, my lord!
Cute Nicknames|TRUE||nicknames.jpg|A comic with two agent OCs from Digimon Story: Time Stranger heading out of the Abyss Sanctuary with their partner Digimon (Numemon and Dorumon). One says goodbye to Neptunemon and calls  him "Fish Butt", and Neptunemon happily bids the agents farewell. Megaseadramon asks Neptunemon if it's alright for the human agents to call him that name. Neptunemon reassures Megaseadramon that it's alright, since he does indeed have a fish butt.|2025-12-23||A small collab between me and Sam! She came up with the dialogue, drew Megaseadramon, and helped with the background, while I drew and colored the comic! She and I affectionately call Neptunemon "Fish Butt" every day or at least every time he's in our minds...which is often. XD|**Agent**: Thanks, Fish Butt! See you later!\n\n**Neptunemon**: Take care!\n\n**Megaseadramon**: Your Majesty, is it truly ok for the humans to call you that?\n\n**Neptunemon**: It's quite alright! I *do* have a fish butt!
Digi-Love is Digi-Love|||loveislove.jpg|A four-paneled meme. In the top left panel labelled "Regular couple" are Venusmon and Neptunemon exchanging a loving gaze. In the top right panel labelled "Yaoi couple" are Gallantmon and Beelzemon (both OCs) leaning into each other's shoulders while watching the sunset. In the bottom left panel is Alphamon holding Stella Aiba with the border of roses around the couple. In the bottom right panel labelled "I see no difference, love is love" is Numemon, holding a sign with a hand doing a thumbs up.|2025-11-26||It's funny that I have the most ships for a franchise that's all about digital monsters fighting each other. 😆\n\nOriginal meme and its sources [here](https://www.tumblr.com/my-hobby-is-finding-the-source/723206511489400832).
